year,cid,eci,gini,xgini,gdppc
1963.0,tkm,,,,
1963.0,tto,,,47.793733223769806,
1963.0,tun,-0.16461540800000002,47.54308,46.865138071339786,943.0
1963.0,tur,-0.6360678670000001,44.94589000000001,47.642547333598344,2540.0
1963.0,tza,-1.3741561169999998,,48.33785048973417,
1963.0,ukr,,,,
1963.0,ury,0.079347998,,42.72360679027471,3070.0
1963.0,usa,1.7616798880000002,35.49747,41.193652892906755,16700.0
1963.0,uzb,,,,
1963.0,ven,0.431194216,46.27605,48.31525574463952,6180.0
1963.0,vnm,-0.229874864,,46.29694913199764,
1963.0,wld,0.462288588,,,3330.0
1963.0,yem,,,,
1963.0,zaf,-0.127736464,43.24981,44.53696187886511,3690.0
1963.0,zmb,-0.7718380090000001,49.55504000000001,47.21632028701495,881.0
1963.0,zwe,-0.601722658,46.115,40.198076990165724,510.0
1964.0,ago,-1.061395526,,48.39024865644011,
1964.0,alb,-0.121743664,,45.563399119215525,
1964.0,are,,,,
1964.0,arg,0.154042959,,43.721585852301686,3140.0
1964.0,aus,0.5952751039999999,31.15842,42.511512488472796,14500.0
1964.0,aut,2.069966316,34.83833,40.272526909090274,12700.0
1964.0,aze,,,,
1964.0,bel,,32.36097,42.14863047449272,
1964.0,bgd,,,,
1964.0,bgr,1.057601333,29.42416,43.929287203023826,
1964.0,bhr,,,40.686263751510225,
1964.0,bih,,,,
1964.0,blr,,,,
1964.0,bol,-0.640656352,,49.75917374164153,961.0
1964.0,bra,-0.559562624,,48.290992414586064,1860.0
1964.0,bwa,,,,
1964.0,can,1.011020303,35.12554,40.9801341587289,14900.0
1964.0,che,2.171381712,,39.005842772566396,
1964.0,chl,0.044876657,45.60198,47.37697267611912,2670.0
1964.0,chn,0.7005061509999999,,44.86680978865002,104.0
1964.0,civ,-0.571697652,,48.57487575953434,1160.0
1964.0,cmr,-0.949895561,,48.77736353875065,723.0
1964.0,cog,-1.006166339,,47.21605754236663,978.0
1964.0,col,0.213034153,43.87837,48.85203605535674,1570.0
1964.0,cri,0.49497965,,47.77317006870785,1870.0
1964.0,cub,0.003366263,,46.244549087199424,
1964.0,cyp,,45.01465,45.51865977083389,
1964.0,cze,,22.95775,,
1964.0,deu,,31.16135,39.845725268069216,
1964.0,dnk,1.5329252480000002,30.41017,39.910602876567296,20700.0
1964.0,dom,-0.780789673,40.71097,47.173113952006,1240.0
1964.0,dza,-0.191449955,,46.451600376101744,1580.0
1964.0,ecu,-0.744392693,48.02442,47.461674241377494,1690.0
1964.0,egy,0.101819649,45.22515,48.37720974064922,382.0
1964.0,esp,0.8068816659999999,40.38321,45.268589122276566,8420.0
1964.0,est,,,,
1964.0,eth,-1.015224099,,48.07527142608619,
1964.0,fin,1.490992665,33.05466,38.96843941610294,12100.0
1964.0,fra,1.840394735,,41.2827896013659,13300.0
1964.0,gab,,,46.71157466130281,
1964.0,gbr,1.989543438,,40.17286261704179,14800.0
1964.0,geo,,,,
1964.0,gha,-0.671615362,48.9642,50.489007463938684,490.0
1964.0,gin,-1.059895754,,43.609579463833654,
1964.0,grc,0.356321096,43.47779,45.70827777224196,7060.0
1964.0,gtm,0.266763985,,48.177118353401596,1300.0
1964.0,hnd,-0.123057134,44.73246,45.73704059499754,839.0
1964.0,hrv,,,,
1964.0,hun,1.313574314,29.1768,42.65572972167776,2470.0
1964.0,idn,-0.980001688,,47.35797055979964,284.0
1964.0,irl,1.280095458,36.38424000000001,41.19284123742175,
